,max_found_at: ,end_mean_fitness_population: ,end_max_fitness: ,population,generation,crossover_probability,mutation_probability,selection_method,k_value
0,28,1000.0,1030.0,50,400,0.8,0.5,<function selRoulette at 0x00000216B3744DC0>,2
1,9,952.4876923076923,1030.0,650,400,0.4,0.9,<function selTournament at 0x00000216B3744D30>,4
2,7,1012.7914285714286,1030.0,350,350,0.9,0.3,<function selBest at 0x00000216B3744C10>,4
3,7,990.2266666666667,1030.0,450,200,0.8,0.5,<function selRoulette at 0x00000216B3744DC0>,4
4,10,1023.66,1030.0,400,200,0.1,0.1,<function selBest at 0x00000216B3744C10>,1
5,113,1011.0,1030.0,100,300,0.7,0.3,<function selRoulette at 0x00000216B3744DC0>,3
6,14,990.0036363636364,1030.0,550,150,0.2,0.6,<function selRoulette at 0x00000216B3744DC0>,5
7,20,1012.045,1030.0,200,400,0.6,0.4,<function selTournament at 0x00000216B3744D30>,1
8,7,1014.9353846153846,1030.0,650,100,0.6,0.2,<function selTournament at 0x00000216B3744D30>,3
9,6,1024.2941176470588,1030.0,850,300,0.6,0.1,<function selTournament at 0x00000216B3744D30>,2
